Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Tom LaGarde,DAL,82,32.6,2.2,6,8.1,2.9,0.4,0.5,2.5,3.6,13.7,1981
Keith Herron,DET,80,28.4,1.2,1.4,2.6,1.9,1.1,0.3,1.9,1.9,13.7,1981
Bobby Jones,PHI,81,25.3,1.8,3.6,5.4,2.8,1.2,0.9,1.8,2.8,13.5,1981
Ricky Sobers,CHI,71,25.4,0.6,1.4,2,4,1.4,0.2,2.9,3.2,13.5,1981
Calvin Natt,POR,74,28.5,2,3.8,5.8,2.1,1,0.2,2.2,2.5,13.4,1981
Terry Tyler,DET,82,31.1,2.4,4.5,6.9,1.7,1.4,2.2,2,2.6,13.4,1981
Kevin Porter,WAS,81,31.8,0.4,1.1,1.5,9.1,1.4,0.1,3.1,3.2,13.4,1981
Quinn Buckner,MIL,82,29.1,1.1,2.6,3.6,4.7,2.4,0,2.9,3.3,13.3,1981
Geoff Huston,CLE,81,30,0.6,1.1,1.7,4.9,0.7,0.1,2.2,1.8,13.2,1981
Vinnie Johnson,SEA,81,28.5,2.4,2.1,4.5,4.2,1,0.2,2.7,2.4,13,1981
Andrew Toney,PHI,75,23.6,0.4,1.5,1.9,3.6,0.8,0.1,2.9,3.1,12.9,1981
Bill Robinzine,DAL,78,25.8,2.2,4.7,6.8,1.5,1,0.1,2.4,3.5,12.9,1981
Mitch Kupchak,WAS,82,23.6,2.4,4.5,6.9,0.8,0.4,0.3,2,2.4,12.5,1981
Mickey Johnson,MIL,82,25.8,2.2,4.4,6.6,3.5,1.1,0.9,2.8,3.1,12.5,1981
Wes Matthews,ATL,79,28.7,0.6,1.2,1.8,5.2,1.4,0.2,3.3,3.1,12.4,1981
Mark Olberding,SAS,82,29.4,1.8,4,5.7,3.4,0.9,0.4,2.5,3.7,12.3,1981
Steve Hawes,ATL,74,31.2,2.2,5.4,7.6,2.3,1,0.4,2.2,3.9,12,1981
Joe Bryant,SDC,82,28.8,1.8,3.6,5.4,2.3,0.9,0.4,2.1,3.2,11.6,1981
Don Collins,WAS,81,22.8,1.6,1.7,3.3,2.3,1.3,0.3,2.1,3.2,11.5,1981
John Johnson,SEA,80,29.1,1.7,2.8,4.5,3.9,0.7,0.3,2.9,2.5,11.5,1981
Kermit Washington,POR,73,29,3.2,6.2,9.4,2,1.2,1.2,2,3.5,11.4,1981
Darwin Cook,NJN,81,24.4,1.2,1.7,2.9,3.7,1.7,0.4,2.2,2.4,11.2,1981
Mike O'Koren,NJN,79,31.3,2.3,3.8,6.1,3.2,1.1,0.3,1.8,3.1,11,1981
Steve Mix,PHI,72,18.4,1.5,2.2,3.7,1.6,0.8,0.2,1.2,1.5,10.8,1981
Jim Chones,LAL,82,31.2,2.2,5.8,8,1.9,0.5,1.2,1.9,4,10.8,1981
Tom Owens,POR,79,23.3,2.1,3.7,5.8,1.8,0.5,0.6,1.6,3.5,10.6,1981
"Mike Dunleavy, Sr.",HOU,74,21.7,0.4,1.2,1.6,3.6,0.9,0,1.9,2.2,10.5,1981
Louis Orr,IND,82,21.8,2.1,2.3,4.4,1.6,0.7,0.3,1.5,1.9,10.5,1981
Dave Corzine,SAS,82,23.9,2.8,5,7.8,1.4,0.5,1.2,1.6,2.6,10.5,1981
Bob McAdoo,NJN,16,20.1,1.1,3.1,4.2,1.9,1.1,0.8,2,2.4,10.3,1981
Dave Robisch,DEN,84,25.2,1.9,4.1,5.9,2.1,0.4,0.4,1,2.1,10.2,1981
Reggie Johnson,SAS,79,21.7,1.7,2.9,4.5,1,0.6,0.6,1.6,3.6,10.2,1981
Brian Taylor,SDC,80,28.9,0.7,1.2,1.9,5.5,1.5,0.3,1.4,2.6,10.1,1981
Mike Bratz,CLE,80,32.4,0.8,1.6,2.5,5.7,1.7,0.2,2,2.4,10,1981
Richard Washington,CLE,80,22.6,2,3.7,5.7,1.6,0.6,0.8,1.6,3.5,10,1981
Kevin McHale,BOS,82,20.1,1.9,2.5,4.4,0.7,0.3,1.8,1.3,3.2,10,1981
Bob Wilkerson,CHI,80,28,1.1,2.5,3.5,3.4,1.3,0.3,2.2,2.1,10,1981
Oliver Mack,DAL,65,25.9,1.4,2.1,3.5,2.5,0.9,0.1,1.1,1.8,9.8,1981
Bill Laimbeer,CLE,81,30.4,3.3,5.3,8.6,2.7,0.7,1,1.6,4.1,9.8,1981
Billy McKinney,DEN,84,25.8,0.4,1.8,2.2,4.3,1.2,0.1,1.9,2.8,9.7,1981
Larry Smith,GSW,82,31.4,5.3,6.8,12.1,1.1,0.9,0.8,1.8,3.9,9.6,1981
Lionel Hollins,PHI,82,26.3,0.6,1.8,2.3,4.3,1.3,0.2,2.5,2.5,9.5,1981
Ben Poquette,UTA,82,34.2,2,5.7,7.7,2,0.8,2.1,1.5,4.2,9.5,1981
Mo Cheeks,PHI,81,29.8,0.8,2.2,3,6.9,2.4,0.5,2.1,2.9,9.4,1981
Michael Cooper,LAL,81,32.4,1.5,2.7,4.1,4.1,1.6,1,2,3.1,9.4,1981
Rick Robey,BOS,82,19.1,1.6,3.1,4.8,1.5,0.5,0.2,1.7,2.5,9,1981
Chris Ford,BOS,82,33.2,0.9,1.1,2,3.6,1.2,0.3,1.5,2.6,8.9,1981
Scott Lloyd,DAL,72,30.4,2.2,4.1,6.3,2.2,0.5,0.3,2,3.7,8.8,1981
Allan Bristow,UTA,82,24.4,1.3,4,5.2,4.7,0.8,0,2.1,2.3,8.7,1981
Joe Hassett,GSW,41,17.4,0.6,1.1,1.7,1.8,0.3,0,0.5,1.6,8.7,1981
Ron Brewer,SAS,75,19.4,0.5,0.7,1.1,2,0.8,0.5,1.2,1.3,8.6,1981
Jeff Cook,PHX,79,27.7,2.2,3.8,5.9,2.5,1,0.7,1.8,3,8.5,1981
Wally Walker,SEA,82,21.9,1.3,2.6,3.8,1.5,0.6,0.2,1.4,2,8.4,1981
Johnny High,PHX,81,21.6,1.1,1.7,2.8,2.5,1.6,0.3,2.3,3.1,8.4,1981
Mike Glenn,NYK,82,18.4,0.3,0.7,1.1,1.3,0.9,0.1,0.8,1.5,8.2,1981
Allen Leavell,HOU,79,21.3,0.4,1.3,1.7,4.9,1.2,0.2,2.4,2,8.1,1981
Kyle Macy,PHX,82,17.9,0.5,1.1,1.6,2,0.9,0.1,1.2,1.5,8.1,1981
Pat Cummings,MIL,74,14.6,1.3,2.6,3.9,0.8,0.4,0.3,1.5,2.6,8,1981
Dudley Bradley,IND,82,22.8,0.9,1.5,2.4,2.3,2.3,0.5,1.5,2.9,8,1981
Wayne Robinson,DET,81,19.7,1.4,2.2,3.6,1.4,0.6,0.3,1.8,2.3,7.9,1981
Bob Gross,POR,82,23.6,1.5,2.5,4,3.1,1.1,0.8,1.8,2.9,7.8,1981
Kenny Higgs,DEN,72,23.5,0.3,1.7,2,5.7,1.4,0.1,2.3,3.4,7.8,1981
Marty Byrnes,DAL,72,18.9,1,1.4,2.5,1.6,0.4,0.2,0.8,1.8,7.8,1981
Gerald Henderson,BOS,82,19.6,0.5,1.1,1.6,2.6,1,0.1,2,2.2,7.8,1981
Dwight Jones,CHI,81,19.4,1.6,3.4,5,1.2,0.5,0.4,1.6,2.5,7.6,1981
Joe C. Meriweather,KCK,74,20.5,1.7,3.6,5.3,1,0.4,1.1,1.7,3,7.6,1981
Bob Elliott,NJN,73,18.1,1.4,2.2,3.6,1.8,0.5,0.2,1.6,2.4,7.5,1981
Ernie Grunfeld,KCK,79,20.1,0.4,2.2,2.6,2.6,0.8,0.2,1.1,2,7.5,1981
Tom McMillen,ATL,79,19.8,1.2,2.5,3.7,0.9,0.3,0.3,1,2.1,7.4,1981
Billy Paultz,HOU,81,20.5,1.4,3.5,4.8,1.3,0.3,0.9,1.1,2.2,7.4,1981
Johnny Moore,SAS,82,19.2,0.7,1.7,2.4,4.5,1.5,0.3,1.9,2.2,7.4,1981
Caldwell Jones,PHI,81,32.6,2.5,7.6,10,1.5,0.7,1.7,2.1,3.3,7.2,1981
Clemon Johnson,IND,81,20.3,2.1,3.6,5.8,1.8,0.5,1.5,1.5,2.3,7.2,1981
Paul Mokeski,DET,80,22.7,1.8,3.5,5.2,1.7,0.5,0.9,2,3.3,7.1,1981
Rich Kelley,PHX,81,20.8,1.6,3.8,5.4,3.5,1,0.8,2.6,2.6,7,1981
Lowes Moore,NJN,71,19.8,0.6,1.8,2.4,3.2,0.9,0.2,1.5,2.5,7,1981
Clint Richardson,PHI,77,17.1,1.1,1.2,2.3,2,0.5,0.1,1.4,1.3,7,1981
John Shumate,SEA,24,22,1.4,2.2,3.7,1,0.9,0.4,1.8,2,7,1981
Sam Lacey,KCK,82,27.2,1.6,5.5,7.1,4.9,1.2,1.5,2.2,3.7,6.9,1981
Wayne Cooper,UTA,71,20,2.3,3.9,6.2,0.7,0.3,0.7,1.1,3.1,6.9,1981
Larry Drew,DET,76,20.8,0.3,1.3,1.6,3.3,1.2,0.1,2.2,1.6,6.6,1981
Sonny Parker,GSW,73,18,1.4,1.3,2.7,1.5,0.9,0.2,1.2,1.5,6.5,1981
Carl Nicks,UTA,67,16.6,0.6,1.1,1.6,2.2,0.9,0,1.7,2.1,6.2,1981
Paul Griffin,SAS,82,23.5,2.2,3.9,6.2,3,0.9,0.5,1.6,2.5,6.1,1981
Calvin Garrett,HOU,70,23.4,1.2,2.6,3.8,1.9,0.7,0.1,1.3,2.4,6.1,1981
Leon Douglas,KCK,79,17.2,1.9,3,4.9,0.9,0.3,0.5,1.1,3.2,6,1981
Sam Pellom,ATL,77,19.1,1.6,3,4.6,0.6,0.6,1.2,1.3,3,5.9,1981
Glen Gondrezick,DEN,73,14.8,1.9,2.3,4.2,1.1,1.2,0.3,0.9,2.5,5.8,1981
Alvin Scott,PHX,82,17.4,1.2,2,3.3,1.4,0.7,0.9,0.9,1.5,5.4,1981
Bill Hanzlik,SEA,74,17,0.9,1.2,2.1,1.5,0.8,0.3,1.1,2.3,5.4,1981
Eddie Jordan,LAL,74,16.6,0.4,0.9,1.3,3.3,1.3,0.1,1.9,2.2,5.3,1981
Marvin Webster,NYK,82,20.8,2,3.7,5.7,0.9,0.3,1.2,1.3,2.3,5.2,1981
Armond Hill,SEA,75,23.2,0.5,1.6,2.1,3.9,0.9,0.1,1.7,2.8,5,1981
George Johnson,SAS,82,23.6,2.6,4.7,7.3,1.1,0.6,3.4,1.3,3.3,5,1981
Terry Duerod,BOS,50,9,0.3,0.5,0.9,0.7,0.3,0.1,0.7,0.5,4.9,1981
Gar Heard,SDC,78,20.9,1.5,2.9,4.5,1.6,1.3,0.9,1,2.5,4.8,1981
Mike Gale,POR,77,14.4,0.2,1.1,1.3,2.2,1.2,0.1,1,1.5,4.8,1981
Mike Woodson,NYK,81,11.7,0.4,0.8,1.2,0.9,0.4,0.1,0.7,1.2,4.7,1981
Henry Bibby,SDC,73,15.2,0.3,0.7,1,2.7,0.6,0,1,1.2,4.6,1981
T.R. Dunn,DEN,82,17.4,1.6,2,3.7,1,0.8,0.4,0.7,1.7,4.5,1981
Coby Dietrick,CHI,82,15.2,1,2.3,3.2,1.4,0.6,0.6,1.1,2.1,4.5,1981
Mike Evans,MIL,71,12.8,0.3,0.9,1.2,2.4,0.5,0.1,1,1.6,4.5,1981
Austin Carr,WAS,47,14,0.5,0.8,1.3,1.2,0.3,0,0.9,1.1,4.4,1981
Harvey Catchings,MIL,77,21.2,2,4.1,6.1,1.3,0.4,2.4,1.4,3.7,4.2,1981
Ron Lee,DET,82,22.3,0.8,1.9,2.7,4.4,2,0.4,2.1,3.2,4.2,1981
Larry Demic,NYK,76,12.7,1.5,1.7,3.2,0.4,0.2,0.2,0.8,2,4.1,1981
Joel Kramer,PHX,82,13,0.9,1.9,2.8,1.1,0.4,0.2,0.8,1.6,4.1,1981
Jerome Whitehead,SDC,48,14.3,1.2,3.2,4.5,0.5,0.4,0.2,1.2,2.5,4,1981
Gus Gerard,SAS,27,9.3,1.1,1.4,2.5,0.6,0.4,0.3,0.6,1.5,4,1981
Jan Van Breda Kolff,NJN,78,18.3,0.6,2,2.6,1.7,0.5,0.6,1.4,2.7,3.8,1981
Rudy White,SEA,16,13,0.1,0.6,0.7,1.2,0.6,0.1,0.8,1.4,3.8,1981
Stan Pietkiewicz,DAL,42,11,0.3,0.7,1,1.8,0.4,0,0.5,0.7,3.4,1981
John Lambert,KCK,46,10.5,0.6,1.4,2,0.6,0.3,0.1,0.4,1.7,3.3,1981
Chad Kinch,DAL,41,8.6,0.2,0.6,0.8,1.1,0.3,0.1,0.7,0.8,2.9,1981
Len Elmore,MIL,72,12.8,0.9,1.9,2.9,1,0.5,0.7,0.6,2.5,2.9,1981
Jim Brewer,LAL,78,14.2,1.6,2,3.6,0.7,0.6,0.7,0.6,2,2.8,1981
Tom Abernethy,IND,39,7.6,0.5,0.7,1.2,0.5,0.2,0.1,0.2,0.9,1.6,1981
Monti Davis,DAL,2,5,1,1,2,0,0,0.5,0,0,1.5,1981
Lee Johnson,DET,12,7.5,0.5,1.3,1.8,0.1,0,0.4,0.6,1.5,1.4,1981
Kim Hughes,CLE,53,9.2,0.9,1.5,2.4,0.7,0.5,0.7,0.8,2,1,1981
Dick Miller,UTA,8,6.6,0.2,0.6,0.9,0.6,0.5,0,1,0.6,1,1981
George Gervin,SAS,79,35.7,1.7,3.2,5,2.4,1,0.6,2.7,2.7,32.3,1982
Moses Malone,HOU,81,42,6.9,7.8,14.7,1.8,0.9,1.5,3.6,2.6,31.1,1982
Adrian Dantley,UTA,81,39.8,2.9,3.5,6.3,4,1.2,0.2,3.7,3.1,30.3,1982
Alex English,DEN,82,36.8,2.6,4.2,6.8,5.3,1.1,1.5,3.2,3.2,25.4,1982
Julius Erving,PHI,81,34.4,2.7,4.2,6.9,3.9,2,1.7,2.6,2.8,24.4,1982
Kareem Abdul-Jabbar,LAL,76,35.2,2.3,6.4,8.7,3,0.8,2.7,3,2.9,23.9,1982
Gus Williams,SEA,80,36,1.1,1.9,3,6.9,2.1,0.5,2.5,2,23.4,1982
Bernard King,GSW,79,36.2,1.8,4.2,5.9,3.6,1,0.3,3.4,3.6,23.2,1982
World B. Free,GSW,78,35.8,1.5,1.7,3.2,5.4,0.9,0.1,2.7,2.8,22.9,1982
Larry Bird,BOS,77,38,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9,1982
Dan Issel,DEN,81,30.5,2.1,5.4,7.5,2.2,0.8,0.7,2.1,3,22.9,1982
John Long,DET,69,32,1.4,2.3,3.7,2.1,0.9,0.4,2.4,2.5,21.9,1982
Kelly Tripucka,DET,82,37.5,2.7,2.7,5.4,3.3,1.1,0.2,3.4,2.9,21.6,1982
Kiki Vandeweghe,DEN,82,33.8,1.8,3.8,5.6,3,0.6,0.4,2.3,2.6,21.5,1982
Jay Vincent,DAL,81,32.4,2.2,4.7,7,2.2,1.1,0.3,2.4,3.8,21.4,1982
Jamaal Wilkes,LAL,82,35.4,1.9,2.9,4.8,1.7,1.1,0.3,2,2.9,21.1,1982
Mychal Thompson,POR,79,39.6,3.3,8.4,11.7,4,0.9,1.4,3.1,2.9,20.8,1982
Mike Mitchell,SAS,84,36.5,2.9,4.1,7,1,0.7,0.5,1.8,3.3,20.5,1982
Ray Williams,NJN,82,33.3,1.4,2.5,4,6,2.4,0.5,3.5,3.7,20.4,1982
Robert Parish,BOS,80,31.7,3.6,7.2,10.8,1.8,0.8,2.4,2.8,3.3,19.9,1982
Darrell Griffith,UTA,80,32.5,1.6,2.2,3.8,2.3,1.2,0.4,2.4,2.7,19.8,1982
Sidney Moncrief,MIL,80,37.2,2.8,3.9,6.7,4.8,1.7,0.3,2.6,2.6,19.8,1982
Jack Sikma,SEA,82,37.2,2.7,9.9,12.7,3.4,1.2,1.3,2.6,3.3,19.6,1982
Dennis Johnson,PHX,80,36.7,1.8,3.4,5.1,4.6,1.3,0.7,2.9,3.2,19.5,1982
Truck Robinson,PHX,74,37.1,2.7,7,9.7,2.4,0.6,0.4,2.7,2.9,19.1,1982
Jim Paxson,POR,82,33.6,0.9,1.8,2.7,3.4,1.6,0.1,1.8,1.9,18.9,1982
Ron Brewer,CLE,72,32.2,0.8,1.5,2.2,2.6,1.1,0.4,1.7,2.1,18.8,1982
Greg Ballard,WAS,79,37.3,1.7,6.3,8,3.2,1.7,0.3,1.5,2.6,18.8,1982
Magic Johnson,LAL,78,38.3,3.2,6.4,9.6,9.5,2.7,0.4,3.7,2.9,18.6,1982
John Drew,ATL,70,29.1,2.4,2.9,5.4,1.4,0.9,0,2.5,3.6,18.5,1982
Artis Gilmore,CHI,82,34.1,2.7,7.5,10.2,1.7,0.6,2.7,2.8,3.5,18.5,1982
Cliff Robinson,CLE,68,32,2.6,6.4,9,1.8,1.3,1.5,2.2,3.3,18.5,1982
Reggie Theus,CHI,82,34.6,1.4,2.4,3.8,5.8,1.1,0.2,3.4,3,18.4,1982
Micheal Ray Richardson,NYK,82,37.1,2.2,4.7,6.9,7,2.6,0.5,3.5,3.9,17.9,1982
Calvin Natt,POR,75,34.7,2.6,5.6,8.2,2,0.8,0.5,1.9,2.3,17.7,1982
Norm Nixon,LAL,82,36.9,0.5,1.7,2.1,8,1.6,0.1,2.9,3.2,17.6,1982
Tom Chambers,SDC,81,33.1,2.6,4.3,6.9,1.8,0.7,0.6,2.7,4.2,17.2,1982
Johnny Davis,IND,82,32.5,0.9,1.3,2.2,4.2,0.9,0.1,2.3,2.1,17,1982
Isiah Thomas,DET,72,33.8,0.8,2.1,2.9,7.8,2.1,0.2,4.2,3.5,17,1982
Joe Barry Carroll,GSW,76,34.6,2.8,5.6,8.3,0.8,0.8,1.7,2.7,3.5,17,1982
James Edwards,CLE,77,33,2.5,5.1,7.5,1.6,0.3,1.5,2.1,4.5,16.7,1982
Andrew Toney,PHI,77,24.8,0.6,1.2,1.7,3.7,0.8,0.2,2.8,3.5,16.5,1982
Elvin Hayes,HOU,82,37,3.3,5.9,9.1,1.8,0.8,1.3,2.5,3.5,16.1,1982
Kelvin Ransey,POR,78,31,0.5,1.9,2.4,7.1,1.2,0.1,2.9,2.2,16.1,1982
Maurice Lucas,NYK,80,33.4,3.4,7.9,11.3,2.2,0.8,0.9,2.2,3.9,15.8,1982
Mike Woodson,KCK,83,28.1,1.2,1.7,3,2.7,1.7,0.4,1.8,2.7,15.7,1982
Michael Brooks,SDC,82,33.5,2.5,5.1,7.6,2.9,1.4,0.5,2.4,3.5,15.6,1982
Buck Williams,NJN,82,34.5,4.2,8,12.3,1.3,1,1,2.9,3.5,15.5,1982
Alvan Adams,PHX,79,30.3,1.7,5.7,7.4,4.5,1.4,1,2.5,3.4,15.1,1982
Lonnie Shelton,SEA,81,32.9,2,4.3,6.3,3.1,1.2,0.5,2.5,3.9,14.9,1982
Rickey Green,UTA,81,34.8,1,2,3,7.8,2.3,0.1,2.4,2.3,14.8,1982
Cedric Maxwell,BOS,78,33.2,2.8,3.6,6.4,2.3,1,0.6,2.2,3.4,14.8,1982
David Greenwood,CHI,82,35.5,2.3,7.2,9.6,3.2,0.9,1.1,2.2,3.6,14.6,1982
Jeff Ruland,WAS,82,27,3.1,6.2,9.3,1.6,0.5,0.7,2.9,3.9,14.4,1982
Bobby Jones,PHI,76,28.7,1.4,3.7,5.2,2.5,1.3,1.5,1.9,2.8,14.4,1982
Purvis Short,GSW,76,23.4,1.6,1.9,3.5,2.8,0.9,0.1,1.6,2.9,14.4,1982
Bill Cartwright,NYK,72,28.6,1.6,4.2,5.8,1.2,0.7,0.9,2.3,2.9,14.4,1982
Kyle Macy,PHX,82,34.7,1,2.2,3.2,4.7,1.7,0.1,1.5,2.3,14.2,1982
Campy Russell,NYK,77,30.6,1.1,1.9,3.1,3.7,1,0.2,2.5,2.9,13.9,1982
Jerome Whitehead,SDC,72,30.8,3.2,6,9.2,1.4,0.7,0.6,2,4,13.8,1982
Kevin McHale,BOS,82,28.4,2.3,4.5,6.8,1.1,0.4,2.3,1.7,3.2,13.6,1982
Bob Lanier,MIL,74,26.8,1.2,4,5.2,3,1,0.8,2.2,2.9,13.5,1982
Robert Reid,HOU,77,37.8,2.3,4.4,6.6,4.1,1.5,0.6,2,3.9,13.4,1982
Kevin Grevey,WAS,71,30.5,0.8,1.9,2.7,2.1,0.6,0.3,1.4,2.1,13.3,1982
Rolando Blackman,DAL,82,24.1,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3,1982
Spencer Haywood,WAS,76,27.4,1.9,3.7,5.6,0.8,0.6,0.9,2.3,3.3,13.3,1982
Quinn Buckner,MIL,70,30.8,1.1,2.5,3.6,4.7,2.5,0,2.6,3.1,12.9,1982
Mickey Johnson,MIL,76,25.4,1.8,4.2,6,2.8,0.9,0.6,2.5,3.2,12.9,1982
Steve Johnson,KCK,78,22.3,1.9,3.9,5.9,1.2,0.5,1.1,2.5,4.8,12.8,1982
Ernie Grunfeld,KCK,81,23.4,0.7,1.6,2.2,3.4,0.9,0.5,1.8,2.4,12.7,1982
Kent Benson,DET,75,32.9,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5,1982
Billy Knight,IND,81,22.3,1.2,2,3.2,1.5,0.8,0.2,1.7,1.6,12.3,1982
Rick Mahorn,WAS,80,33.3,1.9,6.9,8.8,1.9,0.7,1.7,2,4.4,12.2,1982
Brad Davis,DAL,82,31.9,0.4,2.3,2.8,6.2,0.9,0.1,1.9,2.7,12.1,1982
Kenny Carr,DET,74,26,2.3,4.9,7.2,1.2,0.9,0.3,2.1,3.4,12.1,1982
Reggie King,KCK,80,32.6,2,4.5,6.5,2.2,1.1,0.4,1.9,2.8,12.1,1982
Albert King,NJN,76,22.3,1.4,2.7,4.1,1.9,0.8,0.5,2.4,3.4,12.1,1982
Freeman Williams,ATL,60,16.6,0.4,0.7,1,1.4,0.5,0,1.8,1.7,12,1982
Michael Cooper,LAL,76,28.9,1.1,2.4,3.5,3,1.6,0.8,2,2.8,11.9,1982
Joe Bryant,SDC,75,26.5,1.1,2.6,3.7,2.5,1,0.4,2.4,3.3,11.8,1982
Ricky Sobers,CHI,80,24.2,0.5,1.3,1.8,3.8,0.9,0.2,2.7,3,11.8,1982
Ronnie Lester,CHI,75,30,1,1.8,2.8,4.8,1.1,0.2,2.5,2.1,11.6,1982
Herb Williams,IND,82,27.8,2.1,5.2,7.4,1.7,0.6,2.2,1.7,2.4,11.5,1982
Louis Orr,IND,80,24.4,1.6,2.5,4.1,1.7,0.7,0.3,1.7,2.3,11.5,1982
Phil Smith,SEA,74,27.6,0.7,1.8,2.5,4.1,0.9,0.4,2.1,2.9,11.5,1982
Mike O'Koren,NJN,80,25.2,1.4,2.4,3.8,2.4,1,0.2,1.8,2.2,11.4,1982
Fred Brown,SEA,82,21.8,0.5,1.2,1.7,2.9,0.8,0,1.2,1.4,11.2,1982
Mo Cheeks,PHI,79,31.6,0.6,2.5,3.1,8.4,2.6,0.4,2.3,3.1,11.2,1982
Billy Ray Bates,POR,75,16.4,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1,1982
Lionel Hollins,PHI,81,27.9,0.4,1.9,2.3,3.9,1.3,0.2,1.8,2.4,11,1982
Darwin Cook,NJN,82,25.5,0.6,1.3,1.9,3.9,1.8,0.3,2.1,2.4,11,1982
Allen Leavell,HOU,79,27.2,0.6,1.5,2.1,5.8,1.9,0.2,1.9,2.3,10.9,1982
Reggie Johnson,KCK,75,25.4,1.9,4.1,6,1,0.4,0.8,1.3,3.4,10.9,1982
Charlie Criss,SDC,55,25.3,0.2,1.3,1.5,3.4,0.8,0.1,1.5,1.7,10.8,1982
Billy McKinney,DEN,81,24.2,0.4,1.4,1.8,4.2,0.9,0.2,1.4,2.3,10.8,1982
Larry Drew,KCK,81,24.4,0.4,1.5,1.8,5.2,1.4,0,2.1,1.9,10.8,1982
Frank Johnson,WAS,79,25.7,0.4,1.4,1.9,4.8,1,0.1,2,2.5,10.7,1982
Tom Owens,IND,74,21.6,1.9,3.1,5,1.7,0.6,0.5,1.9,3.5,10.5,1982
Rory Sparrow,ATL,82,31.8,0.6,2.1,2.7,5.2,1.1,0.2,1.8,2.9,10.5,1982
Geoff Huston,CLE,78,30.9,0.7,1.2,1.9,7.6,0.9,0.1,2.2,2.2,10.3,1982
Mike Bantom,PHI,82,24.6,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2,1982
Gerald Henderson,BOS,82,22.5,0.6,1.3,1.9,3.1,1,0.1,1.8,2.4,10.2,1982
Phil Hubbard,CLE,83,22.2,2.3,3.4,5.7,1.1,0.8,0.2,1.9,3.5,10.2,1982
Dave Corzine,SAS,82,26.7,2.6,5.1,7.7,1.6,0.4,1.5,1.7,2.9,10.1,1982
Jim Spanarkel,DAL,82,21.4,1.2,1.4,2.6,2.5,1,0.1,1.4,1.7,10.1,1982
Randy Smith,NYK,82,24.8,0.6,1.2,1.9,3.1,1.1,0,1.5,2.4,10,1982
Don Collins,WAS,79,20.4,1.3,1.2,2.5,1.9,1.1,0.3,1.7,2.5,10,1982
Dwight Jones,CHI,78,26.2,2,4.5,6.5,1.5,0.6,0.5,2,2.8,10,1982
Terry Tyler,DET,82,24.3,1.9,4.1,6,1.5,0.9,2,1.5,2.2,9.9,1982
Wally Walker,SEA,70,28.1,1.5,2.8,4.4,3.1,0.5,0.4,1.6,3.1,9.9,1982
Tom McMillen,ATL,73,24.5,1.4,3.2,4.6,1.8,0.3,0.3,1.7,2.8,9.9,1982
Phil Ford,KCK,72,27.1,0.3,1.1,1.5,6.3,0.9,0,2.7,2.2,9.9,1982
Don Buse,IND,82,30.8,0.6,2.2,2.7,5,2,0.3,1.2,2.1,9.7,1982
Gene Banks,SAS,80,21.2,2,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6,1982
Al Wood,SDC,48,19.4,1.1,1.7,2.8,1.2,0.6,0.2,1.5,2.2,9.5,1982
Clemon Johnson,IND,79,25.1,2.3,4.9,7.2,1.6,0.8,1.4,1.7,3.1,9.5,1982
Johnny Moore,SAS,79,29,0.8,2.7,3.5,9.6,2.1,0.2,2.2,3.2,9.4,1982
Jeff Wilkins,UTA,82,27.7,1.5,6,7.5,1.1,0.4,0.9,1.6,3,9.3,1982
Eddie Johnson,KCK,74,20.5,1.7,2.6,4.4,1.5,0.7,0.2,1.3,2.8,9.3,1982
Mike Newlin,NYK,76,19.8,0.5,0.7,1.2,2.2,0.4,0,1.4,2.6,9.3,1982
Len Elmore,NJN,81,25.9,2.1,3.4,5.4,1.2,1.1,1.1,1.7,3.5,9.1,1982
Bill Laimbeer,DET,80,22.9,2.9,4.8,7.7,1.2,0.5,0.8,1.5,3.7,9,1982
Wayne Cooper,DAL,76,23.9,2.6,4.6,7.2,1.5,0.5,1.4,1.2,3.8,9,1982
James Bailey,NJN,77,19.1,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6,1982
John Lucas,WAS,79,24.6,0.5,1.6,2.1,7,1.2,0.1,2,1.3,8.4,1982
Elston Turner,DAL,80,24.9,1.8,2,3.8,2.4,0.9,0,1.4,2.3,8.3,1982
Glen Gondrezick,DEN,80,21.2,1.8,3.5,5.3,1.9,1.1,0.5,1.2,2.9,8.2,1982
T.R. Dunn,DEN,82,30.7,2.6,4.2,6.8,2.3,1.6,0.4,1.5,2.6,8.2,1982
James Donaldson,SEA,82,20.9,1.7,4.3,6,0.6,0.3,1.7,1.4,2.3,8.1,1982
Caldwell Jones,PHI,81,30.2,2,6.7,8.7,1.2,0.5,1.8,1.9,3.7,7.9,1982
Rich Kelley,PHX,81,23.4,2.1,4.1,6.1,3.6,0.8,0.9,3,3.6,7.9,1982
