Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Gerald Henderson,BOS,76,14,0.5,0.6,1.1,1.9,0.6,0.2,1.4,1.3,6.2,1980
Jim Paxson,POR,72,17.6,0.3,1.2,1.5,2,0.7,0.1,1.3,1.3,6.2,1980
Mike Evans,SAS,79,15.8,0.4,1,1.4,2.9,0.8,0.1,1.6,2.5,6.2,1980
Armond Hill,ATL,79,26.5,0.4,1.4,1.7,5.4,1.4,0.1,2.2,3.3,6.1,1980
Clifford Ray,GSW,81,20.8,1.5,4.2,5.8,2.3,0.6,0.4,1.9,3.3,6,1980
Clemon Johnson,IND,79,19.5,1.8,3.2,5,1.5,0.6,1.5,1,2.7,6,1980
Ernie Grunfeld,KCK,80,17.5,1.1,1.8,2.9,1.4,0.7,0.1,1,1.9,5.9,1980
Mike Glenn,NYK,75,10.7,0.3,0.6,0.9,1.1,0.5,0.1,0.5,1.1,5.9,1980
Richard Washington,MIL,75,14.6,1.3,2.4,3.7,0.7,0.3,0.6,0.8,2.2,5.9,1980
Jack Givens,ATL,82,15.3,1.4,1.6,3,0.7,0.6,0.2,0.7,1.6,5.7,1980
Hollis Copeland,NYK,75,15.2,0.9,1.1,2.1,1.1,0.8,0.3,1.1,2.1,5.7,1980
James Hardy,UTA,76,21.1,1.6,3.6,5.2,1.4,0.6,1.1,1.4,2.7,5.5,1980
John Lambert,CLE,74,17.9,1.9,2.9,4.8,0.8,0.6,0.6,0.9,2.7,5.4,1980
Raymond Townsend,GSW,75,15.5,0.4,0.7,1.2,1.5,0.8,0.1,0.9,1.5,5.4,1980
Major Jones,HOU,82,18.8,1.8,2.9,4.6,0.8,0.6,0.8,1.4,2.3,5.3,1980
Gus Gerard,KCK,73,11.9,1.1,1.4,2.4,0.6,0.6,0.4,0.7,1.3,5.3,1980
Johnny High,PHX,82,13.7,0.8,1.3,2.1,1.5,0.9,0.2,1.5,2.1,5,1980
Robert Smith,NJN,65,12.4,0.3,0.9,1.2,1.4,0.4,0.1,0.8,1.6,5,1980
Gar Heard,PHX,82,17.1,1.4,3.2,4.6,1.2,1,0.6,1.1,2.2,5,1980
Ron Lee,DET,61,19.1,0.7,1.4,2,4,1.6,0.3,1.7,2.8,4.8,1980
Oliver Mack,CHI,50,13.6,0.6,0.8,1.4,1.1,0.5,0.1,0.7,1,4.7,1980
Tom LaGarde,SEA,82,14.2,1.5,2.3,3.8,1.1,0.2,0.4,1.2,2.5,4.7,1980
Wally Walker,SEA,70,12.1,0.9,1.5,2.4,0.8,0.3,0.1,0.7,1.5,4.7,1980
Roy Hamilton,DET,72,15.5,0.6,0.9,1.5,2.7,0.7,0.1,1.6,1.1,4.6,1980
Brad Davis,UTA,18,14.9,0.2,0.7,0.9,2.8,0.7,0.1,0.8,1.6,4.6,1980
Alvin Scott,PHX,79,16.5,1.1,1.8,2.9,1.2,0.6,0.7,1.2,1.3,4.4,1980
Gary Garland,DEN,78,14.2,0.6,1.1,1.8,1.9,0.7,0.1,0.9,1,4.3,1980
Don Ford,CLE,73,13.7,0.6,1.9,2.5,0.9,0.3,0.3,0.7,1.8,4.2,1980
Paul Silas,SEA,82,19.5,2.5,2.8,5.3,0.8,0.3,0.1,1,1.5,3.8,1980
Lloyd Walton,MIL,76,16.4,0.4,0.8,1.2,3.8,0.6,0,1.5,0.9,3.6,1980
John Brown,ATL,32,12,0.8,1.4,2.2,0.6,0.1,0.1,0.9,2.2,3.5,1980
Harvey Catchings,MIL,72,19,2.3,3.4,5.7,1.1,0.3,2.2,0.9,2.7,3.2,1980
Kim Hughes,DEN,70,17.3,1.8,2.9,4.7,1.1,0.9,1.1,0.7,2.6,3.1,1980
Geoff Huston,NYK,71,13,0.2,0.6,0.8,2.2,0.5,0.1,1,1.2,3.1,1980
Dave Corzine,WAS,78,10.6,1.3,2.1,3.5,0.8,0.1,0.4,0.8,1.5,2.9,1980
Tim Bassett,SAS,12,13.7,0.9,1.8,2.8,1.2,0.7,0,0.8,2.2,2.8,1980
Jerome Whitehead,UTA,50,11.1,1.1,2.2,3.3,0.5,0.2,0.3,0.7,1.9,2.5,1980
Steve Malovic,DET,39,11.4,0.9,1.3,2.2,0.7,0.2,0.2,0.6,1.3,2.1,1980
Butch Lee,LAL,14,3.9,0.5,0.3,0.8,0.9,0.1,0,0.7,0.1,1.3,1980
Adrian Dantley,UTA,80,42.7,2.4,4,6.4,4,1.4,0.2,3.5,3.1,30.6,1981
Moses Malone,HOU,80,40.6,5.9,8.8,14.8,1.8,1,1.9,3.9,2.8,27.8,1981
George Gervin,SAS,82,33.7,1.5,3.6,5.1,3.2,1.1,0.7,3.1,2.6,27.1,1981
Kareem Abdul-Jabbar,LAL,80,37.2,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3,26.2,1981
David Thompson,DEN,77,34,1.4,2.3,3.7,3,0.7,0.8,3.2,3,25.5,1981
Otis Birdsong,KCK,71,36.5,1.7,2,3.6,3.3,1.3,0.3,2.4,2.4,24.6,1981
Julius Erving,PHI,82,35,3,5,8,4.4,2.1,1.8,3.2,2.8,24.6,1981
Mike Mitchell,CLE,82,39,2.6,3.5,6.1,1.7,0.8,0.6,2.1,2.4,24.5,1981
World B. Free,GSW,65,36.5,0.7,1.7,2.4,5.6,1.3,0.2,3,2.8,24.1,1981
Alex English,DEN,81,38.2,3.4,4.6,8,3.6,1.3,1.2,3,3.1,23.8,1981
Jamaal Wilkes,LAL,81,37.4,1.8,3.6,5.4,2.9,1.5,0.4,2.6,2.8,22.6,1981
Bernard King,GSW,81,36,2.2,4.6,6.8,3.5,0.9,0.4,3.3,3.8,21.9,1981
Dan Issel,DEN,80,33,2.9,5.6,8.4,2,1,0.7,1.6,3.1,21.9,1981
John Drew,ATL,67,31,2.2,3.6,5.7,1.2,1.5,0.2,2.9,3.9,21.7,1981
Mike Newlin,NJN,79,36.8,1,1.8,2.8,3.8,1.1,0.1,3.1,3,21.4,1981
Larry Bird,BOS,82,39.5,2.3,8.6,10.9,5.5,2,0.8,3.5,2.9,21.2,1981
Darrell Griffith,UTA,81,35.4,1,2.6,3.6,2.4,1.3,0.5,2.9,2.7,20.6,1981
Marques Johnson,MIL,76,33.4,3,3.9,6.8,4.6,1.5,0.5,2.5,2.6,20.3,1981
Bill Cartwright,NYK,82,35.7,2,5.5,7.5,1.4,0.6,1,2.4,3.2,20.1,1981
Ray Williams,NYK,79,34.7,1.5,2.5,4.1,5.5,2.3,0.5,3,3.4,19.7,1981
Freeman Williams,SDC,82,24.1,0.9,0.7,1.6,2,1.1,0.1,2,1.9,19.3,1981
"Eddie Johnson, Jr.",ATL,75,35.9,0.8,1.6,2.4,5.4,1.7,0.1,2.6,2.5,19.1,1981
Scott Wedman,KCK,81,35.8,1.6,3.8,5.3,2.8,1.2,0.6,2,3.6,19,1981
Robert Parish,BOS,82,28,3,6.5,9.5,1.8,1,2.6,2.3,3.8,18.9,1981
Reggie Theus,CHI,82,34.4,1.5,2,3.5,5.2,1.5,0.2,3.2,3.1,18.9,1981
Joe Barry Carroll,GSW,82,35.6,3.3,5.9,9.3,1.4,0.6,1.5,3,3.8,18.9,1981
Truck Robinson,PHX,82,37.7,2.6,7,9.6,2.5,0.8,0.5,3,2.7,18.8,1981
Dennis Johnson,PHX,79,33.1,2,2.6,4.6,3.7,1.7,0.8,2.6,3.1,18.8,1981
Jack Sikma,SEA,82,35.6,2.2,8.1,10.4,3,1,1.1,2.5,3.4,18.7,1981
Walter Davis,PHX,78,28,0.8,1.8,2.6,3.9,1.2,0.2,2.8,2.5,18,1981
Artis Gilmore,CHI,82,34.5,2.7,7.4,10.1,2.1,0.6,2.4,2.9,3.6,17.9,1981
Elvin Hayes,WAS,81,36.2,2.9,6.8,9.7,1.2,0.8,2.1,2.3,3.7,17.8,1981
James Silas,SAS,75,27.4,0.6,2.5,3.1,3.8,0.7,0.2,2.1,1.7,17.7,1981
Billy Knight,IND,82,29.1,2.3,2.7,5,1.9,1,0.1,2.2,1.9,17.5,1981
Kevin Grevey,WAS,75,34.9,0.9,2,2.9,4,0.9,0.2,1.9,2.1,17.2,1981
Jim Paxson,POR,79,34.2,0.9,1.7,2.7,3.8,1.8,0.1,1.7,2.2,17.1,1981
Norm Nixon,LAL,79,37.5,0.8,2.1,2.9,8.8,1.8,0.1,3.6,2.9,17.1,1981
Mychal Thompson,POR,79,35.3,2.8,5.9,8.7,3.6,0.8,2.2,3.1,3.3,17,1981
Phil Smith,SDC,76,31.3,0.6,1.4,2.1,4.9,1.1,0.2,2.3,3,16.8,1981
Junior Bridgeman,MIL,77,28.8,1,2.7,3.8,3,1.1,0.4,1.9,2.4,16.8,1981
Calvin Murphy,HOU,76,26.5,0.4,0.7,1.1,2.9,1.5,0.1,1.7,2.8,16.7,1981
Micheal Ray Richardson,NYK,79,40.2,2.2,4.7,6.9,7.9,2.9,0.4,3.8,3.3,16.4,1981
Campy Russell,NYK,79,36.3,1.4,3.1,4.5,3.3,1.3,0.1,2.7,3.1,16.4,1981
Purvis Short,GSW,79,29.2,1.9,3,4.9,3.2,1,0.2,1.8,3.1,16.1,1981
Robert Reid,HOU,82,36.1,2,5.1,7.1,4.2,2,0.8,2.4,4,15.9,1981
James Edwards,IND,81,29.3,2.4,4.7,7,2.6,0.4,1.6,2,3.8,15.6,1981
Swen Nater,SDC,82,34.3,3.6,8.8,12.4,2.4,0.6,0.6,2.6,3.6,15.6,1981
Greg Ballard,WAS,82,31.8,2,5,7.1,2.4,1.4,0.5,1.4,2.4,15.5,1981
Fred Brown,SEA,78,25.5,0.7,1.6,2.2,3,1.1,0.2,1.7,1.8,15.5,1981
Cedric Maxwell,BOS,81,33.7,2.7,3.7,6.5,2.7,1,0.8,2.2,3.2,15.2,1981
Kelvin Ransey,POR,80,30.4,0.5,1.9,2.4,6.9,1.1,0.1,2.9,2.5,15.2,1981
Kenny Carr,CLE,81,32.3,3.2,7.1,10.3,2.4,0.9,0.5,2.9,3.7,15.2,1981
Reggie King,KCK,81,33.9,2.9,6.8,9.7,1.5,1.3,0.5,2,2.8,14.9,1981
Alvan Adams,PHX,75,27.4,2.1,5.2,7.3,4.6,1.4,0.9,3,3,14.9,1981
Michael Brooks,SDC,82,30.2,2.6,2.8,5.4,2.5,1.2,0.4,2,2.9,14.7,1981
Randy Smith,CLE,82,26.8,0.6,1.8,2.4,4.4,1.4,0.2,2.4,1.6,14.6,1981
Phil Hubbard,DET,80,28.6,3,4.4,7.3,1.9,1,0.2,2.9,4,14.5,1981
Jim Spanarkel,DAL,82,28.3,1.7,1.9,3.6,2.8,1.4,0.2,2.1,2.8,14.4,1981
Johnny Davis,IND,76,33.4,0.7,1.5,2.2,6.3,1.2,0.2,2.2,2.4,14.4,1981
Roger Phegley,CLE,82,27.7,1.1,1.9,3,2.2,0.8,0.2,2,3.2,14.4,1981
David Greenwood,CHI,82,33,3,5.9,8.8,2.7,0.9,1.5,2.3,3.4,14.4,1981
Larry Kenon,CHI,77,28.1,2.3,2.8,5.2,1.6,1,0.2,2.1,2.1,14.1,1981
Sidney Moncrief,MIL,80,30.2,2.3,2.8,5.1,3.3,1.1,0.5,1.8,1.9,14,1981
Darryl Dawkins,PHI,76,27.5,1.4,5.8,7.2,1.4,0.5,1.5,2.9,4.2,14,1981
James Bailey,SEA,82,31,2.3,5.1,7.4,1.2,0.9,1.7,2.7,4,14,1981
Mike Bantom,IND,76,31.2,2,3.6,5.6,3.2,1.1,1.1,2.6,3.7,14,1981
Tiny Archibald,BOS,80,35.2,0.5,1.8,2.2,7.7,0.9,0.2,3.3,2.5,13.8,1981
Billy Ray Bates,POR,77,20.3,0.9,1.1,2,2.5,1.1,0.1,1.9,1.6,13.8,1981
